mandarin;character;english;pronunciation;audio
现在;该时;Now;[kɔi21 si215];[sound:该时.mp3]
想;谂;To think, to consider;[nam55];[sound:谂.mp3]
小;细个;"Young; small";[ɬai33 gɔi335];[sound:细个.mp3]
些;尼;[Colloquial] some, a few;[nai55];[sound:尼.mp3]
谢谢;唔该;'Would you mind helping me with ...;[m22 gɔi33];[sound:唔该.mp3]
星期;星期;"Week; day of the week";[ɬɛɪn33 ki22];[sound:星期.mp3]
学生;学生;Pupil, student;[hɔk32 saŋ335];[sound:学生.mp3]
学习;学习;"To study, to learn; to attend political";[hɔk32 dip32];[sound:学习.mp3]
学校;学校;School;[hɔk32 hɔu32(5)];[sound:学校.mp3]
一;一;One;[yit55];[sound:一.mp3]
衣服;衫;Clothes;[sam21];[sound:衫.mp3]
医生;医生;Doctor;[yi33 saŋ335];[sound:医生.mp3]
医院;病院/医院;Hospital;[biaŋ32 yɔn325/yi33 yɔn325];[sound:病院/医院.mp3]
椅子;椅;Chair;[yi55];[sound:椅.mp3]
有;有;"To have, to possess; there is, there are, to be present, to exist";[yiu33];[sound:有.mp3]
再见;拜拜;[Loanword] bye bye;[bai55 bai33];[sound:拜拜.mp3]
在;到;To be at (a place);[ɔu33];[sound:到.mp3]
怎么样;几何;How, How is it that ...;[gi55 hɔu215];[sound:几何.mp3]
这;该;This, these;[kɔi21];[sound:该.mp3]
中国;中国;China;[dzəŋ33 gɔk55];[sound:中国.mp3]
住;住;To dwell, to live;[dzi32];[sound:住.mp3]
桌子;枱;Table, desk;[hɔi215];[sound:枱.mp3]
字;字;Chinese character;[du32];[sound:字.mp3]
昨天;昨日;Yesterday;[dɔu21 ŋit215];[sound:昨日.mp3]
坐;坐;To sit;[tɔ33];[sound:坐.mp3]
做;做;"To do; to make; to be; to give (a party, celebration); to become";[du33];[sound:做.mp3]
